



Watchman  n. Man employed to look after an empty building etc. At night.

Remake  —v. (-king; past and past part. Remade) make again or differently. —n. Thing that has been remade, esp. A cinema film.
Evade  v. (-ding) 1 a escape from, avoid, esp. By guile or trickery. B avoid doing (one's duty etc.). C avoid answering (a question). 2 avoid paying (tax). [latin evado escape]
Gothic  —adj. 1 of the goths. 2 in the style of architecture prevalent in w. Europe in the 12th–16th c., characterized by pointed arches. 3 (of a novel etc.) In a style popular in the 18th–19th c., with supernatural or horrifying events. 4 barbarous, uncouth. —n. 1 gothic language. 2 gothic architecture. [latin: related to *goth]
Tarantella  n. 1 whirling s. Italian dance. 2 music for this. [italian from taranto in italy]

Dietitian  n. (also dietician) expert in dietetics.
Heavy-handed  adj. 1 clumsy. 2 overbearing, oppressive.  heavy-handedly adv. Heavy-handedness n.


Preclinical  adj. Of the first, chiefly theoretical, stage of a medical education.
Stylist  n. 1 a designer of fashionable styles etc. B hairdresser. 2 stylish writer or performer.






Baggy  adj. (-ier, -iest) hanging loosely.  baggily adv. Bagginess n.
Lubricate  v. (-ting) 1 apply oil or grease etc. To. 2 make slippery.  lubrication n. Lubricator n. [latin lubricus slippery]
Skittish  adj. 1 lively, playful. 2 (of a horse etc.) Nervous, inclined to shy. [perhaps related to *skit]

Figment  n. Invented or imaginary thing. [latin: related to *feign]


Self-proclaimed  adj. Proclaimed by oneself or itself to be such.


Unexplained  adj. Not explained.
Prate  —v. (-ting) 1 chatter; talk too much. 2 talk foolishly or irrelevantly. —n. Prating; idle talk. [low german or dutch]
Underlying  pres. Part. Of *underlie.

Fait accompli  n. Thing that has been done and is not capable of alteration. [french]
 


Secateurs  n.pl. Pruning clippers used with one hand. [french]


Historic  adj. 1 famous or important in history or potentially so (historic moment). 2 gram. (of a tense) used to narrate past events.

Foul  —adj. 1 offensive; loathsome, stinking. 2 soiled, filthy. 3 colloq. Disgusting, awful. 4 a noxious (foul air). B clogged, choked. 5 obscenely abusive (foul language). 6 unfair; against the rules (by fair means or foul). 7 (of the weather) rough, stormy. 8 (of a rope etc.) Entangled. —n. 1 sport foul stroke or play. 2 collision, entanglement. —adv. Unfairly. —v. 1 make or become foul. 2 (of an animal) foul with excrement. 3 sport commit a foul against (a player). 4 (often foll. By up) a (cause to) become entangled or blocked. B bungle. 5 collide with.  foully adv. Foulness n. [old english]

Siskin  n. Yellowish-green songbird. [dutch]


Pellagra  n. Disease with cracking of the skin and often ending in insanity. [italian pelle skin]


Breathing-space  n. Time to recover; pause.

Hardback  —adj. Bound in boards covered with cloth etc. —n. Hardback book.
Forehand  n. 1 (in tennis etc.) Stroke played with the palm of the hand facing forward. 2 (attrib.) (also forehanded) of or made with a forehand.






Gum3  n.  by gum! Colloq. By god! [corruption of god]


Irreplaceable  adj. That cannot be replaced.

Reintroduce  v. (-cing) introduce again.  reintroduction n.


Axial  adj. Of, forming, or placed round an axis.
Charming  adj. Delightful.  charmingly adv.


High heels  n.pl. Women's shoes with high heels.


Air vice-marshal  n. Raf officer of high rank, just below air marshal.
Risible  adj. Laughable, ludicrous. [latin rideo ris- laugh]


Spoliation  n. Plundering, pillage. [latin: related to *spoil]
Stocky  adj. (-ier, -iest) short and sturdy.  stockily adv. Stockiness n.

High school  n. 1 grammar school. 2 us & scot. Secondary school.
Excellent  adj. Extremely good.
Stack  —n. 1 (esp. Orderly) pile or heap. 2 = *haystack. 3 colloq. Large quantity (a stack of work; stacks of money). 4 a = *chimney-stack. B = *smokestack. C tall factory chimney. 5 stacked group of aircraft. 6 part of a library where books are compactly stored. 7 high detached rock, esp. Off the coast of scotland. —v. 1 pile in a stack or stacks. 2 a arrange (cards) secretly for cheating. B manipulate (circumstances etc.) To suit one. 3 cause (aircraft) to fly in circles while waiting to land. [old norse]

Tutti  mus. —adj. & adv. With all voices or instruments together. —n. (pl. -s) such a passage. [italian, pl. Of tutto all]
Exegesis  n. (pl. Exegeses) critical explanation of a text, esp. Of scripture.  exegetic adj. [greek hegeomai lead]


Sarge  n. Slang sergeant. [abbreviation]




Resist  —v. 1 withstand the action or effect of. 2 stop the course or progress of. 3 abstain from (pleasure, temptation, etc.). 4 strive against; try to impede; refuse to comply with (resist arrest). 5 offer opposition; refuse to comply. —n. Protective coating of a resistant substance.  resistible adj. [latin sisto stop]
Hash1  —n. 1 dish of cooked meat cut into small pieces and reheated. 2 a mixture; jumble. B mess. 3 recycled material. —v. (often foll. By up) recycle (old material).  make a hash of colloq. Make a mess of; bungle.

Southern cross  n. Southern constellation in the shape of a cross.
Porcelain  n. 1 hard fine translucent ceramic with a transparent glaze. 2 objects made of this. [italian diminutive of porca sow]


Central  adj. 1 of, at, or forming the centre. 2 from the centre. 3 chief, essential, most important.  centrality n. Centrally adv.

Chipboard  n. Board made from compressed wood chips.

Flotsam and jetsam  n. 1 odds and ends. 2 vagrants.
Part-time  —adj. (esp. Of a job) occupying less than the normal working week etc. —adv. (also part time) as a part-time activity (works part time).
Digraph  n. Two letters representing one sound, e.g. Ph, ey as in phone, key. [from *di-1, *-graph]







Them  —pron. 1 objective case of *they. 2 colloq. They (it's them again). —demons. Adj. Slang or dial. Those. [old norse]
Lantern  n. 1 lamp with a transparent case protecting a flame etc. 2 raised structure on a dome, room, etc., glazed to admit light. 3 light-chamber of a lighthouse. [greek lampter torch]

Froze  past of *freeze.



Thermal unit  n. Unit for measuring heat.



Municipal  adj. Of a municipality or its self-government.  municipalize v. (also -ise) (-zing or -sing). Municipally adv. [latin municipium free city]



Visual aid  n. Film etc. As a teaching aid.
Bongo  n. (pl. -s or -es) either of a pair of small drums usu. Held between the knees and played with the fingers. [american spanish]
Volcano  n. (pl. -es) 1 mountain or hill from which lava, steam, etc. Escape through openings in the earth's crust. 2 volatile situation. [latin volcanus vulcan, roman god of fire]
Bra  n. Undergarment worn by women to support the breasts. [abbreviation]


Ultra-high  adj. (of a frequency) in the range 300 to 3000 megahertz.
Venerate  v. (-ting) respect deeply.  veneration n. Venerator n. [latin veneror revere]
Swift  —adj. 1 quick, rapid. 2 prompt. —n. Swift-flying migratory bird with long wings.  swiftly adv. Swiftness n. [old english]
Sergeant  n. 1 non-commissioned army or raf officer next below warrant-officer. 2 police officer below inspector. [french sergent from latin serviens -ent- servant]



Indictment  n. 1 a indicting, accusation. B document containing this. 2 thing that serves to condemn or censure (an indictment of society).

Mitigate  v. (-ting) make less intense or severe.  mitigation n. [latin mitis mild]

Tidetable  n. Table indicating the times of high and low tides.

Window-seat  n. 1 seat below a window, esp. In an alcove. 2 seat next to a window in an aircraft, train, etc.
National service  n. Hist. Conscripted peacetime military service.


Martingale  n. Strap(s) preventing a horse from rearing etc. [french, origin uncertain]

Threshold  n. 1 strip of wood or stone forming the bottom of a doorway and crossed in entering a house etc. 2 point of entry or beginning. 3 limit below which a stimulus causes no reaction. [old english: related to *thrash in the sense ‘tread’]
Convector  n. Heating appliance that circulates warm air by convection.
Peony  n. (also paeony) (pl. -ies) plant with large globular red, pink, or white flowers. [greek paionia]


Hurry  —n. 1 great or eager haste. 2 (with neg. Or interrog.) Need for haste (there is no hurry; what's the hurry?). —v. (-ies, -ied) 1 move or act hastily. 2 cause to hurry.





Woolen  (brit. Woollen) —adj. Made wholly or partly of wool. —n. 1 woollen fabric. 2 (in pl.) Woollen garments. [old english]

Precede  v. (-ding) 1 come or go before in time, order, importance, etc. 2 (foll. By by) cause to be preceded. [latin: related to *cede]






Shiver1  —v. Tremble with cold, fear, etc. —n. 1 momentary shivering movement. 2 (in pl., prec. By the) attack of shivering.  shivery adj. [origin uncertain]
Jolt  —v. 1 disturb or shake (esp. In a moving vehicle) with a jerk. 2 shock; perturb. 3 move along jerkily. —n. 1 jerk. 2 surprise or shock.  jolty adj. (-ier, -iest). [origin unknown]

Bmx  n. 1 organized bicycle-racing on a dirt-track. 2 bicycle used for this. [abbreviation of bicycle moto-cross]
Jazzman  n. Jazz-player.


-uncle  suffix forming nouns, usu. Diminutives (carbuncle). [latin -unculus]
Tunny  n. (pl. Same or -ies) = *tuna. [greek thunnos]





Literature  n. 1 written works, esp. Those valued for form and style. 2 writings of a country or period or on a particular subject. 3 literary production. 4 colloq. Printed matter, leaflets, etc.


Darkie  var. Of *darky.

Foreign office  n. Hist. Or informal = *foreign and commonwealth office.


Sash-weight  n. Weight attached to each end of a window sash.
Lurex  n. Propr. 1 type of yarn incorporating a glittering metallic thread. 2 fabric made from this.




Tocsin  n. Alarm bell or signal. [provençal tocasenh]
Dim-wit  n. Colloq. Stupid person.  dim-witted adj.

Pack2  v. Select (a jury etc.) Or fill (a meeting) so as to secure a decision in one's favour. [probably from *pact]
Golf club  n. 1 club used in golf. 2 association for playing golf. 3 premises of this.


Lonesome  adj. Esp. Us 1 lonely. 2 making one feel forlorn (a lonesome song).


Credit card  n. Plastic card from a bank etc. Authorizing the purchase of goods on credit.




Half-title  n. Title or short title of a book printed on the front of the leaf preceding the title-page.



Remould  (us remold) —v. 1 mould again; refashion. 2 re-form the tread of (a tyre). —n. Remoulded tyre.

Culvert  n. Underground channel carrying water under a road etc. [origin unknown]

Sole1  —n. 1 undersurface of the foot. 2 part of a shoe, sock, etc., under the foot, esp. Other than the heel. 3 lower surface or base of a plough, golf-club head, etc. —v. (-ling) provide (a shoe etc.) With a sole.  -soled adj. (in comb.). [latin solea sandal]
Sansculotte  n. (esp. In the french revolution) extreme republican. [french, literally = ‘without knee-breeches’]


Time-lag  n. Interval of time between a cause and effect.





Lobscouse  n. Sailor's dish of meat stewed with vegetables and ship's biscuit. [origin unknown]
Special licence  n. Licence allowing immediate marriage without banns.

Balloon  —n. 1 small inflatable rubber toy or decoration. 2 large usu. Round inflatable flying bag, often carrying a basket for passengers. 3 colloq. Balloon shape enclosing dialogue etc. In a comic strip or cartoon. —v. 1 (cause to) swell out like a balloon. 2 travel by balloon.  balloonist n. [french or italian, = large ball]

Systemic  adj. 1 physiol. Of the whole body. 2 (of an insecticide etc.) Entering the plant via the roots or shoots and freely transported within its tissues.  systemically adv.



That  —demons. Pron. (pl. Those) 1 person or thing indicated, named, or understood (i heard that; who is that in the garden?). 2 contrasted with this (this is much better than that). 3 (esp. In relative constructions) the one, the person, etc. (a table like that described above). 4  (pl. That) used instead of which or whom to introduce a defining clause (the book that you sent me; there is nothing here that matters). —demons. Adj. (pl. Those) designating the person or thing indicated, named, understood, etc. (cf. Sense 1 of pron.). —adv. 1 to such a degree; so (have done that much). 2 colloq. Very (not that good). —conj. Introducing a subordinate clause indicating: 1 statement or hypothesis (they say that he is better). 2 purpose (we eat that we may live). 3 result (am so sleepy that i cannot work).  all that very (not all that good). That is (or that is to say) formula introducing or following an explanation of a preceding word or words. That's that formula indicating conclusion or completion. [old english]
