healthy food;tofu
bonedry;arid
surgeons target;tumor
what the nose knows;odor
get through successfully;negotiate
cheep accommodations;nest
popular fundraiser;raffle
end;abolish
parrot;ape
cargo weight;ton
farm call;moo
upright in football;goalpost
hospital losing time treated 500  everybody on the liner;shipload
infants woe;colic
balls featuring in quotes regularly;nuts
repel with off;fend
fabric fuzz;lint
twitch;spasm
source of igneous rock;magma
nasdaq offering;stock
ships securer;mooring
society avoider;loner
description of car borrowed from parent allegedly;rental
ballerinas garb;tutu
grand  wine appellati;cru
uk honour;mbe
small bite;taste
pencils innards;lead
trivial amount;sou
move forward or jump bac;start
ship of 1492;pinta
put up as a building;erect
generous applause a bit;handsome
nl or al team;chi
some run to get in it;shape
doctor in a way;cook
go on too long;drag
family room;den
word repeated before pan;liar
clobber;lam
recipe measure;teaspoon
nofrills;plain
cancer or capricorn;tropic
it may be bitter;feta
a party to;privy
martins partner in 1960s;rowan
rockets sound;roar
diminish;ebb
room at san quentin;cell
source of sudden wealth;jackpot
large shaggy brown bison;buffalo
select;cull
something to sing along t;tune
deflect as comments;parry
character in beowulf;rune
journal submission;essay
sunbathers need;towel
cat informally;tabby
problem with tight shoes;pinch
fleet member;cab
not set in stone;mutable
having made substantial g;obese
common cowboy nickname;slim
place where people take o;restaurant
king charles not to be taken outside preposterous;incredible
up above;aloft
give back foreign currency after holiday;restore
manual reader;user
bawdy series of lectures on the radio;coarse
endeavored;tried
copier unit;ream
basis of a lawsuit;tort
practically unheardof;rare
bender;toot
tuned in;hip
its hard to tip;trike
grp that spans an ocean;nato
thin;scanty
safari camp;base
like most limericks in s;anon
divine attendant;angel
one with future prospects;seer
kind of gown;bridal
polite goodbye;adieu
perfume;attar
blue;sad
throw off;repel
bright;brainy
might;may
time to give up;lent
exit quickly;flee
macedons great king d 323 bc;alexander
like few counties nowaday;dry
youll need some breaks if you want to make it;omelette
wranglers alternative;lees
golfs  elder;lee
signs in the sky;zodiac
spit;saliva
it lasts and lasts;eon
utensil;tool
pick up the tab;treat
cry while pointing a fing;aha
mounted heading off on final trip;astride
catholic service;mass
chronic nag;shrew
ilk;type
b or better;good
dads backing mum perhaps thats obvious;apparent
creature that loses its t;tadpole
cause of worry lines;stress
aquarists annoyance;leak
one rolling with the ston;roadie
still;yet
check for odors;sniff
drab and oldfashioned;dowdy
food that usually comes i;glorious
first name in talk;rush
emulated leander;swam
more than a quarter of th;silicon
rational article about family;thinking
cold buffet slice;aspic
urgency;haste
boundless;vast
one in a booth maybe;diner
oesophagus;gullet
jungfrau or eiger;alp
relative of a frog;toad
divvy up;allot
like the citadel now;coed
aqua;lung
trinidadian eg;carib
cry of victory;yes
household chore;wash
pierce;recipe
hideout;den
unwilling to listen;deaf
sheriffs sidekick;deputy
colts home;holster
skirt length;midi
result of a certain med;eeg
pack animal;cub
vows locale;altar
migrants former evacuation of jersey;expat
coming right back at you;echoic
lions lair;den
something you might want;artichoke
see firsthand;eyewitness
without a shirt;topless
like a lot;adore
west point drillee;cadet
visibly stunned;agape
like a champion bodybuild;lean
jewelry box;safe
many times;often
improve;mend
revered figure;idol
more than stirred;woke
st agness;eve
marsh marigold;cowslip
rotten firm run by murdoch ignores margins of error;corrupt
apollos creator;nasa
second in command;deputy
teamwork disrupter;ego
terrif;fab
entertainer in a kimono;geisha
mystic;seer
kind of twist;reverse
dig a lot;adore
gleeful laugh;chortle
voice quality;tone
meeting schedule;agenda
punk;lousy
it follows leap day abbr;mar
clean rags;edit
expand as a compressed f;unzip
little scurrier;ant
wear well;last
not just for now;ever
bring to proper pitch;tune
unit in an ergs definiti;dyne
sas announcement;eta
kind of state in the east;zen
just a taste;sample
really bad;lousy
consume;ingest
bug;irk
home of the blue devils;duke
its given to a waiter;order
still time rushed old writers one line short;tranquil
give in to pressure;sag
southern bowlful;grits
wind up;close
satisfied;contented
get in sync again;retune
the old sailors tradition drink;grog
not going too far;moderate
they say to rule women by fear regularly leads to downfall;rainwater
kind of service led by a military service;underarm
fertile area in 7;oasis
grant an appeal perhaps;rehear
evoking an eh;drab
reunion number;year
potter has a rest in game;bridge
manufacture;make
where to make tracks;studio
like some corners;neutral
milk type;skim
neutral;disinterested
borns partner;bred
slow down;retard
enigma;poser
angry teachers cry;quiet
baseball blunder;error
split;part
seek at random with for;fish
some ducts carry them;ova
dude;easterner
nae sayer;scot
horrible grade on a test;zero
lax letters;eta
service leader;rabbi
car with a bar;limo
curved nail perhaps;claw
measles symptom;spot
common painkiller;aspirin
like many blog comments;anon
tip reducer;emery
old message system;telex
damaged the carts wheel maybe;ratchet
runway sight;model
accelerator pedal;throttle
understand;comprehend
consider the pros and con;weigh
indeed people in training will get recompense;payment
more acute;sharper
dissimilar;unalike
first child;cain
little newt;eft
gilbert and sullivan empe;mikado
peak;maximum
domain;land
opening time maybe;nine
space capsule insignia;nasa
a couple of people may wo;tandem
computer command;undo
mad states;papal
genius;brain
on the back;dorsal
humble;meek
fruity drink;punch
condemneds neckwear;noose
concern;matter
giant star of the 1930s;ott
opening for a tab;slot
nasty words;venom
fabric fold;pleat
cause of a stomachache;ulcer
miserable weather;sleet
aim high with exceptional praise;aspire
translation aid at an ope;surtitle
arctic deer;caribou
actor gorcey;leo
chessman;knight
be in the running;vie
firmly fixed;fast
too pink say;underdone
dog articles about wagging tails;alsatian
launch;site
patriots foe;redcoat
bud holder;vase
tupper of tupperware fame;earl
southern side;okra
hardly plentiful;scanty
thickskinned one;rhino
its worst when its high;treason
get stuck;mire
where the yukon is;canada
university man expert very briefly east of berlin;provost
mad for biscuits;crackers
number in favour of surrounding university;four
clothing line;seam
mishandle;fumble
executorial concern;estate
take the honey and run;elope
of interest to collectors;rare
she rated foreign support;headrest
agendum eg;item
composed;staid
kings title for short;rev
hint to filling in four s;telephone
cheeses not left its brought back;stilton
certain chamber piece;octet
one cycle per second;hertz
bloodhound feature;nose
drink on board;grog
soil;dirt
say you cant do that;dare
dodgy fellows found in italys borders;iffy
leading trio of hasidim allowed pork product;haslet
show preference;lean
stab;spear
oriental food keeps us hiccuping to some extent;sushi
nugget holder;ore
crackpot;nutcase
swimmer in the congo;hippo
minor item ideal for twisting round top of tree;detail
fodder;feed
limo occupant perhaps;vip
pretty high rating;nine
dog hounder;flea
metal block;ingot
give up on in slang;bag
fellowship;unity
band on a limb;armlet
like proverbial hens tee;rare
foal;colt
heartthrob;dreamboat
no longer working;idle
attentiongetter;psst
it can be military comme;aviation
smear;daub
alley;lane
computer programmers nee;logic
pain in the side caused by exercise;stitch
of no value;useless
procedure part;step
rat;sing
herotype;idol
riches from ditches;ore
take a soak;bathe
macaroni and such;pasta
another name for emmanuel;jesus
wipe out;massacre
hardly a summer house;igloo
repeat without thinking;parrot
carrier of genetic info;rna
whats required to be in;ante
drunk like a fish;legless
crammers concern;exam
type of reproduction;asexual
cunning;guile
put paper into;fed
sub;temp
poorly expressed section with a bias;stilted
missing gi;awol
back;finance
behold;see
on land;ashore
one making arrangements;florist
fictional sleeper;rip
slanders counterpart;libel
home in rome;villa
chewy candy;taffy
buyonegetonefree item;suspender
neighbor of albion;erin
exalt;ennoble
admit with up;own
snow runner;ski
looked over;seen
closeknit group;tribe
big hit;smash
illtempered;surly
distinctive character of bird artist captured;trait
cobras comment;hiss
eats at a bar;tapas
critical cluck;tut
pull up  im risking going back to provide food right away;eradicate
buggy power;horse
not deepsea;inshore
hedgerow plant;yarrow
caught you in old london borough with numerous friends;popular
canal boat;barge
lay man;poet
hair knot;bun
rant and rage;storm
kind of bar;tapas
pillow cover;sham
what a loose thread might;clue
church singers;choir
increase endless possibilities following heartless eviction;enhance
smashing;tiptop
bomb not bursting in air;dud
intellectually gifted;brainy
detailed list of goods;inventory
runway;tarmac
not settle say;sue
valentine subject;love
talkedabout;famed
have coming;deserve
subject of academic study;ism
behind with payments;in arrears
make a connection;link
word for poor yorick;alas
little laughter;ripple
gave back;repaid
prince of darkness;devil
trident part;tine
calendar abbr;apr
lacking plans;free
beaks;nibs
overhead;smash
like some churches abbr;bap
fiver;fin
like new ones;crisp
billblocking vote;nay
at the moment;now
world book;atlas
soft french cheese;brie
needle hole;eye
vitiated;hurt
clue 9 as eccentric economists acolyte;keynesian
agonising facts cut into me;painful
very expensive;dear
having a lot to lose;obese
lambs dam;ewe
bird messenger;carrier pigeon
enjoy a tub;soak
sailing hazard;fog
part of a defense;moat
architectural feature;ell
place to recuperate;spa
burn as a wound;cauterize
it can be brutal;honesty
pair given permission to form band;bracelet
capital of poland;pee
escort stripped off to make an impression;fetch
command spot;helm
accountants may run one;audit
angel gives revolutionary massage;cherub
construction;site
sets of points in math;loci
italian woman;donna
address otherwise neat spartan;austere
ice cream flavour;vanilla
catafalque;bier
singer with one name;madonna
modulate;vary
plaint on ousting enemys mounted men;elegy
make arrangements;plan
contribute;add
say coquettishly;purr
winter warmer;cocoa
speak for;espouse
not say directly;mince
weiner topping;kraut
ghostly spirit;wraith
novice lodged in city rooms;tyro
local fundraising grp;pta
michigan college or its t;alma
surprise about democrat currently moving to the left;wonder
tattle on;tell
trattoria order;vino
itunes search category;artist
depraved desire;lust
show horse;arab
item with adjustable legs;caliper
secret agent;spy
feathery wrap;boa
sweetened custard;flan
immaculate;clean
swipe card alternative;key
superstar;idol
moon shape;crescent
trail;route
right in a way;reset
snapshot taker;camera
collide;crash
nl;east
apprentice;neophyte
nostalgic tune;oldie
baseball immortal;ott
temple area of jerusalem;zion
one hoping for beneficial response say lacks the power to secure mail operative;claimant
determination;gumption
roman garb;toga
gift by will;legacy
oenophiles concern;year
extract forcefully;wring
pain in the lower back;lumbago
hoodwink;snare
catch  start to get;onto
one falling into good for;lucky
go beyond answer about to be encountered in course;transcend
trues partner;tried
exclamation at a lineup;him
texas computer giant star;dell
plug away;slog
the munchies for one;urge
subject of a keats ode;urn
high in le havre;haute
one following general dir;private
plea addressee;god
desire;urge
mint family member;oregano
stagger;reel
little rocktost louis;nne
miners quest;ore
like a baseball pitch;overarm
abrogate a peace treaty;rearm
medicinal tablet;pill
doubled a pen;sing
